cue,targetLoc,cond,target,corrAns,targetFile,upper_cue,lower_cue,center_cue
upper,upper,con,l,1,stim/lcon.png,stim/bubbles.png,stim/blank.png,stim/blank.png
upper,upper,con,r,2,stim/rcon.png,stim/bubbles.png,stim/blank.png,stim/blank.png
upper,upper,incon,l,1,stim/lincon.png,stim/bubbles.png,stim/blank.png,stim/blank.png
upper,upper,incon,r,2,stim/rincon.png,stim/bubbles.png,stim/blank.png,stim/blank.png
upper,upper,neut,l,1,stim/lneut.png,stim/bubbles.png,stim/blank.png,stim/blank.png
upper,upper,neut,r,2,stim/rneut.png,stim/bubbles.png,stim/blank.png,stim/blank.png
lower,lower,con,l,1,stim/lcon.png,stim/blank.png,stim/bubbles.png,stim/blank.png
lower,lower,con,r,2,stim/rcon.png,stim/blank.png,stim/bubbles.png,stim/blank.png
lower,lower,incon,l,1,stim/lincon.png,stim/blank.png,stim/bubbles.png,stim/blank.png
lower,lower,incon,r,2,stim/rincon.png,stim/blank.png,stim/bubbles.png,stim/blank.png
lower,lower,neut,l,1,stim/lneut.png,stim/blank.png,stim/bubbles.png,stim/blank.png
lower,lower,neut,r,2,stim/rneut.png,stim/blank.png,stim/bubbles.png,stim/blank.png
both,upper,con,l,1,stim/lcon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,upper,con,r,2,stim/rcon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,upper,incon,l,1,stim/lincon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,upper,incon,r,2,stim/rincon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,upper,neut,l,1,stim/lneut.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,upper,neut,r,2,stim/rneut.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,lower,con,l,1,stim/lcon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,lower,con,r,2,stim/rcon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,lower,incon,l,1,stim/lincon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,lower,incon,r,2,stim/rincon.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,lower,neut,l,1,stim/lneut.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
both,lower,neut,r,2,stim/rneut.png,stim/bubbles.png,stim/bubbles.png,stim/blank.png
center,upper,con,l,1,stim/lcon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,upper,con,r,2,stim/rcon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,upper,incon,l,1,stim/lincon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,upper,incon,r,2,stim/rincon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,upper,neut,l,1,stim/lneut.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,upper,neut,r,2,stim/rneut.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,lower,con,l,1,stim/lcon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,lower,con,r,2,stim/rcon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,lower,incon,l,1,stim/lincon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,lower,incon,r,2,stim/rincon.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,lower,neut,l,1,stim/lneut.png,stim/blank.png,stim/blank.png,stim/bubbles.png
center,lower,neut,r,2,stim/rneut.png,stim/blank.png,stim/blank.png,stim/bubbles.png
blank,upper,con,l,1,stim/lcon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,upper,con,r,2,stim/rcon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,upper,incon,l,1,stim/lincon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,upper,incon,r,2,stim/rincon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,upper,neut,l,1,stim/lneut.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,upper,neut,r,2,stim/rneut.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,lower,con,l,1,stim/lcon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,lower,con,r,2,stim/rcon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,lower,incon,l,1,stim/lincon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,lower,incon,r,2,stim/rincon.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,lower,neut,l,1,stim/lneut.png,stim/blank.png,stim/blank.png,stim/blank.png
blank,lower,neut,r,2,stim/rneut.png,stim/blank.png,stim/blank.png,stim/blank.png
